id,year,university,title,abstract
8500,2022,UIN Siber Syekh Nurjati Cirebon,PENGARUH PENGGUNAAN APLIKASI WORDWALL TERHADAP HASIL BELAJAR SISWA PADA MATERI TRIGONOMETRI KELAS 10 DI MAPK WADI SOFIA  - IAIN Syekh Nurjati Cirebon,"Peningkatan kualitas proses dan hasil pembelajaran siswa di setiap jenjang pendidikan perlu diwujudkan agar diperoleh kualitas sumberdaya manusia yang dapat menunjang pembangunan nasional dinegara Indonesia. Salah satu upaya untuk meningkatkan hal tersebut yakni dengan meningkatkan keaktifan siswa dalam proses pembelajaran. Untuk itu penggunaan media aplikasi wordwall dalam proses pembelajaran sangat diperlukan demi membantu siswa dalam memahami materi. Tujuan dari penelitian adalah : 1) Untuk mengetahui seberapa besar respon siswa terhadapa penggunaan media aplikasi wordwall. 2) Untuk mengetahui seberapa besar hasil belajar siswa menggunakan media aplikasi wordwall. 3) Untuk mengetahaui ada tidaknya pengaruh penggunaan media aplikasi wordwall terhadap hasil belajar siswa. Untuk mencapai tujuan diatas, digunakan pendekatan penelitian kuantitatif dengan jenis penelitian eksperimen. Instrument penelitian adalah angket dan teknik pengumpulan data yang digunakan adalah wawancara, dokumentasi, dan tes. Hasil penelitian menunjukkan bahwa Penerapan media pembelajaran setelah menggunakan media aplikasi wordwall diperoleh nilai tertinggi 95 dan nilai terendahnya yaitu sebesar 65, nilai rata-rata sebesar 75,37 ini termasuk dalam kategori baik, respon siswa terhdap penggunaan media media aplikasi wordwallpada indikator 1 yaitu sebesar 74,76%, pada indikator 2 sebesar 96,98%, pada indikator 3 sebesar 71,06%, jadi dapat disimpulkan bahwa pembelajaran dengan menggunakan media aplikasi wordwall dalam pokok bahasan trigonometri memiliki peran yang penting dalam keberhasilan belajar perseta didik. Terdapat pengaruh penggunaan media aplikasi wordwall terhadap hasil belajar siswa. Berdasarkan analisis menunjukan bahwa R Square tersebut diperoleh R Square sebesar 0,475 (47,5%) dari koefisien korelasi (0,725), berkontribusi terhadap hasil belajar siswa dalam pokok bahasan Trigonometri. Sedangkan 52,5% dikarenakan ada faktor yang mempengaruhi hasil belajar siswa baik faktor dari dalam maupun faktor dari luar."
8905,2021,UIN Siber Syekh Nurjati Cirebon,ANALISIS KETERAMPILAN GURU MATEMATIKA SE-KABUPATEN KUNINGANAN DALAM PEMANFAATAN PLATFORM PEMBELAJARAN ONLINE MASA PANDEMIC  - IAIN Syekh Nurjati Cirebon,"Permasalahan yang dihadapi pada masa pandemic COVID-19 adalah mengharuskan pendidik melakukan kegiatan mengajar di rumah. Pendidik harus dapat menggunakan dan memanfaatkan teknologi untuk pembelajaran daring. Penilitian ini bertujuan untuk mengetahui keterampilan guru matematika dalam pemanfaatan platform pembelajaran online; mengetahui platform yang sering digunakan; mengetahui kelebihan dan kekurangan dari platform yang digunakan; mengetahui hambatan dalam proses pembelajaran online masa pandemic; dan untuk mengetahui bagaimana kualitas pembelajaran yang dihasilkan. Penelitian ini menggunakan jenis penelitian mixed method yaitu menggabungkan metode kuantitatif dan kualitatif. Populasi dalam penelitian ini terdiri dari 122 guru matematika se-Kabupaten Kuningan dengan jumlah 44 sekolah (9 Negeri dan 35 swasta). Peneliti menggunakan teknik Cluster Random Sampling dengan sampel sebanyak 25 guru di SMK Se-Kabupaten Kuningan dari 10 sekolah (5 negeri dan 5 swasta). Hasil penelitian menunjukkan bahwa keterampilan guru dalam konteks TIK masuk dalam kategori “Kurang Baik” dengan menggunakan Platform WhatsApp, Google Form, Google Classroom, E-learning/ LMS, dan Google Drive; karena dapat diakses dan terhubung tanpa dibatasi oleh jarak dan ruang, sedangkan untuk kekurangannya adalah Platform tersebut hanya bisa diakses oleh smartphoneandorid di atas Versi 4.0 (Kitkat)/ laptop dan harus terkoneksi dengan internet; hambatan yang dialami yaitu tidak semua siswa memiliki smartphone yang memadai, kendala kuota, dan sinyal. Para siswa juga kesulitan memahami materi, kurang konsentrasi, kehilangan semangat belajar dan motivasi; kualitas pembelajaran cenderung menurun, dan nilai-nilai karakter menurun, selain itu pencapaian siswa pada masa pandemic banyak yang belum mencapai nilai KKM yang sudah ditentukan oleh sekolah, dan juga ditunjukkan data hasil nilai rapor siswa yang fluktuatif."
8970,2022,UIN Siber Syekh Nurjati Cirebon,ANALISIS KEMAMPUAN BERPIKIR KRITIS MATEMATIS DAN REFLEKTIF BERDASARKAN GAYA BELAJAR SISWA DI MTS. SALAFIYAH KOTA CIREBON  - IAIN Syekh Nurjati Cirebon,"Semakin siswa mengenal gaya belajarnya akan semakin mudah untuk  menguasai suatu keterampilan dan konsep-konsep dalam pembelajaran.  Berdasarkan hasil wawancara kepada guru pelajaran matematika kelas VII C Mts. Salafiyah Kota Cirebon tahun ajaran 2021/2022, penyebab hasil belajar siswa yang rendah dikarenakan rendahnya kemampuan berpikir kritis dan reflektif siswa. Siswa hanya dapat mengerjakan soal yang diberikan sesuai contoh yang dijelaskan oleh guru. Tujuan penelitian ini untuk mengetahui bagaimana kemampuan berpikir kritis matematis dan reflektif siswa berdasarkan gaya belajar dan bagaimana perbedaan kemampuan berpikir kritis matematis dan reflektif berdasarkan gaya belajar siswa. Penelitian ini menggunakan pendekatan kualitatif dengan metode deskriptif, Subjek penelitian ini adalah siswa kelas VIIC yang berjumlah 24, tetapi yang diteliti hanya 9 siswa. 3 siswa dari masing-masing gaya belajar visul, auditori dan kinestetik. Hasil penelitian ini menyatakan Siswa dengan gaya belajar visual memiliki kemampuan berpikir kritis matematis cenderung lebih baik karena mampu menjawab soal sesuai dengan indikator walaupun ada kekurangan pada indikator menyimpulkan yaitu pada soal nomor 3 dan 6. Siswa dengan gaya belajar auditori memiliki kemampuan berpikir kritis matematis cenderung cukup karena mampu menjawab soal sesuai dengan indikator, hanya saja kurang pada indikator memecahkan masalah dan menyimpulkan yaitu pada soal nomor 1, 5 dan 6. Dan yang terakhir siswa dengan gaya belajar kinestetik memiliki kemampuan berpikir kritis matematis cenderung baik karena mampu menjawab soal sesuai dengan indikator, hanya saja kurang pada indikator memecahkan masalah yaitu pada soal nomor 1 dan 6. Sedangkan untuk kemampuan berpikir reflektifnya, siswa dengan gaya belajar visual memiliki kemampuan berpikir reflektif cenderung lebih baik karena mampu menjawab soal sesuai indikator, walaupun ada kekurangan pada indikator menyimpulkan yaitu pada soal nomor 3. Siswa dengan gaya belajar auditori memiliki kemampuan berpikir reflektif cenderung cukup karena ada kekurangan pada indikator mengidentifikasi masalah dan menyimpulkan yaitu pada soal nomor 1, 4 dan 6. Siswa dengan gaya belajar kinestetik memiliki kemampuan berpikir reflektif cenderung baik karena mampu mengerjakan soal sesuai indikator, walaupun ada kekurangan pada indikator mengidentifikasi masalah yaitu pada soal nomor 4 dan 5."
8991,2022,UIN Siber Syekh Nurjati Cirebon,KAJIAN SEMIPRIMA PADA ALJABAR LINTASAN  - IAIN Syekh Nurjati Cirebon,Aljabar lintasan
8957,2022,UIN Siber Syekh Nurjati Cirebon,PENGEMBANGAN MULTIMEDIA INTERAKTIF DENGAN STRATEGI KONFLIK KOGNITIF DALAM MEREDUKSI MISKONSEPSI PADA PEMBELAJARAN MATEMATIKA  - IAIN Syekh Nurjati Cirebon,"Matematika merupakan salah satu cabang ilmu pengetahuan yang di dalamnya berisikan berbagai konsep mulai dari mudah ke rumit. Keseluruhan konsep tersebut saling berkaitan secara sistematis sehingga suatu konsep harus dipahami dengan benar sebelum melanjutkan ke konsep setelahnya. Realita di lapangan menunjukkan bahwa banyak siswa memiliki tafsiran konsep lingkaran yang tidak sesuai dengan konsep yang disetujui oleh para ahli atau disebut dengan miskonsepsi. Hasil identifikasi permasalahan menunjukkan bahwa miskonsepsi dapat direduksi dengan penggunaan media serta strategi pembelajaran yang dapat membantu siswa untuk mengkonstruksi pemahamannya dengan benar. Salah satu upaya yang dapat dilakukan adalah mengembangkan multimedia interaktif yang memuat sintaks pembelajaran strategi konflik kognitif untuk digunakan dalam proses pembelajaran. Oleh karena itu, penelitian ini bertujuan untuk (1) mengetahui desain multimedia interaktif dengan strategi konflik kognitif dalam mereduksi miskonsepsi pada pembelajaran matematika, (2) mengetahui tingkat kevalidan dan kepraktisan multimedia interaktif dengan strategi konflik kognitif dalam mereduksi miskonsepsi pada pembelajaran matematika, serta (3) mengetahui dampak dari penggunaan multimedia interaktif dengan strategi konflik kognitif dalam mereduksi miskonsepsi pada pembelajaran matematika. Penelitian ini didesain dengan mengadopsi model penelitian pengembangan yang dikemukakan oleh Plomp. Subjek pada penelitian ini adalah validator produk, 5 guru matematika, serta 33 siswa kelas VIII – 4 MTsN 5 Kuningan yang mengalami miskonsepsi. Instrumen yang digunakan adalah lembar validasi multimedia interaktif, angket respon guru dan siswa, serta three tier test. Hasil desain multimedia interaktif ini terdiri dari petunjuk penggunaan, menu kompetensi, belajar, evaluasi, referensi, istilah penting, dan pengembang. Multimedia interaktif ini dinyatakan sangat valid berdasarkan penilaian kevalidan oleh validator dengan nilai"
8969,2022,UIN Siber Syekh Nurjati Cirebon,PENGARUH KOMPETENSI DIGITAL DAN KOMPETENSI KEPRIBADIAN GURU MATEMATIKA TERHADAP DISPOSISI MATEMATIS SISWA  - IAIN Syekh Nurjati Cirebon,"Penelitian ini mengkaji masalah mengenai pengaruh kompetensi digital dan kompetensi kepribadian guru matematika terhadap disposisi matematis siswa dengan tujuan untuk mengetahui: 1) Penilaian siswa terhadap kompetensi digital guru matematika di SMA Negeri 1 Cilimus. 2) Penilaian siswa terhadap kompetensi kepribadian guru matematika di SMA Negeri 1 Cilimus. 3) Tingkat disposisi matematis siswa di SMA Negeri 1 Cilimus. 4) Ada tidaknya pengaruh kompetensi digital dan kompetensi kepribadian guru matematika terhadap disposisi matematis siswa di SMA Negeri 1 Cilimus. 5) Seberapa besar pengaruh kompetensi digital dan kompetensi kepribadian guru matematika terhadap disposisi matematis siswa di SMA Negeri 1 Cilimus. Penelitian ini termasuk jenis penelitian kuantitatif dengan metode ex post facto. Populasi penelitian ini adalah kelas XI IPA di SMA Negeri 1 Cilimus tahun ajaran 2021/2022. Adapun sampelnya sebanyak 54 siswa yang diambil melalui teknik proportionate stratified random sampling dengan menggunakan rumus Isaac dan Michael. Teknik pengumpulan data menggunakan penyebaran angket berbentuk skala likert. Hasil penelitian ini adalah: 1) Berdasarkan penilaian siswa terhadap kompetensi digital guru matematika di SMA Negeri 1 Cilimus diperoleh persentase rata-rata sebesar 74,10% dan berada dalam kategori kuat. 2) Berdasarkan penilaian siswa terhadap kompetensi kepribadian guru matematika di SMA Negeri 1 Cilimus diperoleh persentase rata-rata sebesar 80,19% dan berada dalam kategori kuat. 3) Tingkat disposisi matematis siswa di SMA Negeri 1 Cilimus memperoleh persentase rata-rata sebesar 72,72% dan berada dalam kategori kuat. 4) Kompetensi digital dan kompetensi kepribadian guru matematika berpengaruh positif dan signifikan terhadap disposisi matematis siswa di SMA Negeri 1 Cilimus. Hal ini mengacu pada hasil analisis regresi linier berganda yang menghasilkan persamaan:"
8979,2022,UIN Siber Syekh Nurjati Cirebon,ANALISIS MISKONSEPSI SISWA PADA MATERI SEGIEMPAT MENGGUNAKAN SIX TIER DIAGNOSTIC TEST DITINJAU DARI GAYA KOGNITIF  - IAIN Syekh Nurjati Cirebon,"Miskonsepsi merupakan kesalahpahaman yang dilakukan oleh siswa dalam menafsirkan suatu konsep yang tidak sesuai dengan konsep yang telah diterima oleh para ahli matematika. Tidak banyak guru yang melakukan analisis untuk mengidentifikasi miskonsepsi yang terjadi pada siswa sehingga dapat mengakibatkan miskonsepsi pada siswa berlangsung terus menerus. Sehingga hal tersebut akan berdampak pada perolehan hasil belajar siswa yang akan mengalami penurunan. Di samping itu, keberhasilan dari suatu pembelajaran dapat bergantung pada karakteristik dari setiap individu siswa. Setiap siswa memiliki perbedaan dalam cara berpikir dan menyerap informasi yang diperolehnya. Dalam hal ini, gaya kognitif siswa berperan penting dalam menunjang keberhasilan suatu proses pembelajaran. Penelitian ini bertujuan untuk: (1) mengetahui jenis miskonsepsi pada siswa dalam menyelesaikan soal materi segiempat (2) mengetahui faktor penyebab miskonsepsi siswa pada materi segiempat berdasarkan six-tier-diagnostic test (3) mengetahui perbedaan miskonsepsi antara siswa yang memiliki gaya kognitif field dependent dengan siswa field independent. Jenis penelitian yang digunakan dalam penelitian ini adalah kualitatif deskriptif dengan menggunakan desain penelitian case study yang mana penelitian ini dipusatkan untuk mengetahui miskonsepsi pada siswa kelas VII B di MTs Siti Khadijah. Teknik pengumpulan data yang digunakan, yaitu dengan menggunakan instrumen tes dan wawancara. Tes yang digunakan dalam penelitian ini berformat six-tier-diagnostic test (test diagnostik 6 tingkat) yang ditujukan untuk mengetahui jenis-jenis miskonsepsi yang terjadi pada siswa, serta mengetahui faktor-faktor yang dapat menjadi penyebab miskonsepsi pada siswa sedangkan untuk teknik analisis data menggunakan tiga tahapan, yaitu reduksi data, penyajian data dan penarikan kesimpulan. Berdasarkan hasil analisis data dengan menggunakan Six-tier�diagnostic test pada soal segiempat yang dilakukan kepada 28 siswa kelas VII BMTs Siti Khadijah diperoleh hasil bahwa jenis-jenis miskonsepsi yang ditemui pada siswa yaitu miskonsepsi teoritikal yang memiliki rata-rata sebesar 20,002 %, miskonsepsi klasifikasional sebesar 15,714%, dan miskonsepsi korelasional sebesar 9,999%. Adapun faktor penyebab terjadinya miskonsepsi pada siswa disebabkan oleh pemikiran sendiri dengan rata-rata sebesar 70,001%, berasal dari penjelasan guru sebesar 22,145%, berasal dari buku sebesar 7,499% dan berasal dari internet sebesar 0,357%. Kemudian hasil analisis siswa field dependent-field independent dengan menggunakan six-tier-diagnostic test menunjukkan bahwa terdapat perbedaan miskonsepsi antara siswa field dependent dan siswa field independent, yaitu siswa field dependent memiliki miskonsepsi sebesar 55,556% sedangkan siswa field independent memiliki miskonsepsi sebesar 28%, hal ini menunjukkan bahwa siswa field dependent memiliki miskonsepsi yang lebih besar dibandingkan dengan siswa field independent."
8866,2021,UIN Siber Syekh Nurjati Cirebon,Pemodelan Matematika Menggunakan Smoothing Method Terhadap Jumlah Pasien Covid-19 yang Sembuh Dengan Bantuan Terapi Dzikir  - IAIN Syekh Nurjati Cirebon,"COVID-19 merupakan infeksi saluran pernafasan yang disebabkan oleh severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Dampak dari adanya wabah COVID-19 sangatlah besar. Sampai saat ini lebih dari 100 juta kasus yang terkonfirmasi COVID-19 dan lebih dari 2 juta jiwa meninggal dunia akibat COVID-19. Melihat perkembangan banyaknya pasien yang terinfeksi COVID-19 penelitian ini hadir untuk membangun model matematika dari jumlah pasien COVID-19 yang sembuh dengan bantuan terapi dzikir. Terapi dzikir adalah terapi non-farmakologi yang biasa diterapkan oleh pasien dengan tujuan mencari ketentraman hati sampai sembuh dari sakit. Metode yang digunakan dalam penelitian ini adalah smoothing method. Data yang diambil merupakan pasien COVID-19 berdomisili di DKI Jakarta, Jawa Barat, dan Jawa Tengah yang berusia >20 tahun dan beragama Islam. Adapun pengambilan data dilakukan melalui survei dengan menyebar link kuisioner secara meluas di sosial media seperti Whatsapp group, Facebook, dan Line. Data dianalisis dengan beberapa tahap diantaranya identifikasi data aktual, analisis data dan penelusuran model relevan, verifikasi model, dan peramalan. Pengolahan data pada penelitian ini dibantu program software Minitab 19. Hasil dari penelitian ini diperoleh bahwa model terbaik untuk meramalkan jumlah pasien COVID-19 yang sembuh dengan bantuan terapi dzikir pada masa mendatang adalah model single exponential smoothing dengan"
8871,2021,UIN Siber Syekh Nurjati Cirebon,Graf Pembagi Nol Atas Gelanggang Perkalian  - IAIN Syekh Nurjati Cirebon,"Kajian tentang graf adalah kajian yang menarik untuk diteliti. Banyak peneliti yang mengkaji graf dan menghubungkannya dengan gelanggang. Dari hal tersebut penulis tertarik melakukan penelitian mengenai graf yang dihubungkan dengan gelanggang perkalian. Penelitian ini menggunakan metode penelitian studi pustaka, yaitu mengumpulkan data dan informasi dari buku, jurnal ilmiah, thesis dan skripsi. Setelah membuktikan gelanggang zn dengan n tertentu adalah gelanggang perkalian, diperoleh teorema bentuk graf, jumlah simpul, jumlah sisi dan jumlah derajat semua simpul pada graf tersebut melalui pembuktian."
8941,2022,UIN Siber Syekh Nurjati Cirebon,Dimensi Aljabar Lintasan Leavitt  - IAIN Syekh Nurjati Cirebon,Suatu graf perluasan
